,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601398.SH,20240308,5.37,5.4,5.34,5.39,5.38,0.009999999999999787,0.1859,2472003.99,1328152.98
1,601398.SH,20240307,5.35,5.4,5.34,5.38,5.35,0.03000000000000025,0.5607,3074594.09,1650760.69
2,601398.SH,20240306,5.45,5.49,5.35,5.35,5.46,-0.11000000000000032,-2.0147,3527871.55,1910626.811
3,601398.SH,20240305,5.32,5.48,5.3,5.46,5.32,0.13999999999999968,2.6316,4298467.12,2323265.996
4,601398.SH,20240304,5.32,5.34,5.28,5.32,5.34,-0.019999999999999574,-0.3745,2557572.75,1359409.11
5,601398.SH,20240301,5.32,5.35,5.29,5.34,5.33,0.009999999999999787,0.1876,2477511.46,1317310.136
6,601398.SH,20240229,5.31,5.36,5.3,5.33,5.33,0.0,0.0,2520777.65,1342717.318
7,601398.SH,20240228,5.3,5.37,5.23,5.33,5.3,0.03000000000000025,0.566,3806093.95,2021720.033
8,601398.SH,20240227,5.3,5.36,5.25,5.3,5.32,-0.020000000000000462,-0.3759,2940999.47,1560959.829
9,601398.SH,20240226,5.48,5.48,5.3,5.32,5.48,-0.16000000000000014,-2.9197,3677178.6,1977747.711
10,601398.SH,20240223,5.41,5.52,5.41,5.48,5.42,0.0600000000000005,1.107,3583185.46,1967299.036
11,601398.SH,20240222,5.4,5.43,5.36,5.42,5.41,0.009999999999999787,0.1848,2231278.68,1204599.969
12,601398.SH,20240221,5.34,5.47,5.33,5.41,5.35,0.0600000000000005,1.1215,3467348.93,1875270.275
13,601398.SH,20240220,5.27,5.36,5.23,5.35,5.27,0.08000000000000007,1.518,3059780.96,1626681.256
14,601398.SH,20240219,5.16,5.28,5.1,5.27,5.16,0.10999999999999943,2.1318,4797143.86,2503180.356
15,601398.SH,20240208,5.16,5.17,5.09,5.16,5.23,-0.07000000000000028,-1.3384,4653693.43,2383629.316
16,601398.SH,20240207,5.31,5.31,5.08,5.23,5.32,-0.08999999999999986,-1.6917,7753354.96,4010563.947
17,601398.SH,20240206,5.29,5.38,5.27,5.32,5.29,0.03000000000000025,0.5671,5649136.91,3006603.608
18,601398.SH,20240205,5.17,5.3,5.16,5.29,5.17,0.1200000000000001,2.3211,6159388.32,3242203.982
19,601398.SH,20240202,5.14,5.2,5.09,5.17,5.14,0.03000000000000025,0.5837,4075978.19,2103998.356
20,601398.SH,20240201,5.15,5.2,5.13,5.14,5.17,-0.03000000000000025,-0.5803,2993715.09,1544401.622
21,601398.SH,20240131,5.12,5.19,5.1,5.17,5.13,0.040000000000000036,0.7797,2963858.63,1525456.799
22,601398.SH,20240130,5.14,5.18,5.09,5.13,5.16,-0.03000000000000025,-0.5814,2914816.62,1498554.326
23,601398.SH,20240129,5.08,5.2,5.08,5.16,5.09,0.07000000000000028,1.3752,3844041.39,1981081.369
24,601398.SH,20240126,5.01,5.11,4.99,5.09,5.01,0.08000000000000007,1.5968,3899367.54,1970826.387
25,601398.SH,20240125,4.98,5.05,4.97,5.01,4.97,0.040000000000000036,0.8048,3437583.76,1721285.077
26,601398.SH,20240124,4.9,4.98,4.88,4.97,4.89,0.08000000000000007,1.636,3348474.64,1650534.905
27,601398.SH,20240123,4.89,4.92,4.84,4.89,4.89,0.0,0.0,3107488.1,1515560.674
28,601398.SH,20240122,4.87,4.94,4.86,4.89,4.89,0.0,0.0,4420635.13,2173336.066
29,601398.SH,20240119,4.83,4.89,4.79,4.89,4.85,0.040000000000000036,0.8247,3867215.35,1875529.373
30,601398.SH,20240118,4.83,4.88,4.72,4.85,4.84,0.009999999999999787,0.2066,5232772.95,2503424.284
31,601398.SH,20240117,4.88,4.9,4.84,4.84,4.89,-0.04999999999999982,-1.0225,2766317.05,1349034.066
32,601398.SH,20240116,4.84,4.9,4.84,4.89,4.86,0.02999999999999936,0.6173,2480399.13,1207827.031
33,601398.SH,20240115,4.8,4.86,4.79,4.86,4.81,0.05000000000000071,1.0395,1810482.9,874409.887
34,601398.SH,20240112,4.77,4.83,4.76,4.81,4.78,0.02999999999999936,0.6276,2300664.93,1105695.049
35,601398.SH,20240111,4.84,4.85,4.77,4.78,4.85,-0.0699999999999994,-1.4433,3306668.51,1587950.047
36,601398.SH,20240110,4.87,4.91,4.83,4.85,4.88,-0.03000000000000025,-0.6148,2342434.92,1138531.555
37,601398.SH,20240109,4.88,4.89,4.83,4.88,4.88,0.0,0.0,2257344.56,1097994.737
38,601398.SH,20240108,4.87,4.91,4.85,4.88,4.87,0.009999999999999787,0.2053,3252257.28,1588242.673
39,601398.SH,20240105,4.89,4.94,4.86,4.87,4.89,-0.019999999999999574,-0.409,2860747.2,1403610.998
40,601398.SH,20240104,4.84,4.9,4.83,4.89,4.84,0.04999999999999982,1.0331,2865675.59,1396443.521
41,601398.SH,20240103,4.79,4.85,4.78,4.84,4.79,0.04999999999999982,1.0438,2488954.27,1201719.346
42,601398.SH,20240102,4.78,4.83,4.77,4.79,4.78,0.009999999999999787,0.2092,2071811.11,995101.442
43,601398.SH,20231229,4.78,4.8,4.77,4.78,4.77,0.010000000000000675,0.2096,1800477.63,861564.197
44,601398.SH,20231228,4.83,4.85,4.77,4.77,4.83,-0.0600000000000005,-1.2422,3465162.02,1664753.044
45,601398.SH,20231227,4.82,4.84,4.78,4.83,4.82,0.009999999999999787,0.2075,1843188.2,886215.652
